t_index   term            df    
1         0               9     
2         000             261   
3         000foot         2     
4         000member       1     
5         000mile         1     
6         000plu          1     
7         000seat         5     
8         000strong       2     
9         000ton          2     
10        000yearold      1     
11        0136            1     
12        015             6     
13        018             1     
14        02              2     
15        021111206       1     
16        06              3     
17        072             3     
18        0for5           1     
19        1               175   
20        10              172   
21        100             89    
22        1000            3     
23        10016           1     
24        10017           1     
25        10018           1     
26        1006            1     
27        1008            1     
28        100degre        1     
29        100ton          2     
30        101             5     
31        10115           1     
32        101150050       1     
33        101162247       1     
34        101mile         1     
35        101milelong     1     
36        1020            5     
37        103             2     
38        1030            5     
39        1033            1     
40        104             1     
41        106th           1     
42        107th           2     
43        108             3     
44        10day           1     
45        10minut         1     
46        10monthlong     1     
47        10page          2     
48        10peopl         1     
49        10stori         1     
50        10th            13    
51        10year          12    
52        10yearold       4     
53        11              67    
54        110             1     
55        110degre        1     
56        111             1     
57        1111            1     
58        1118            3     
59        1120            2     
60        1127            1     
61        1130            5     
62        1135            5     
63        113yearold      1     
64        115             1     
65        1157            1     
66        116             2     
67        116yearold      6     
68        117             1     
69        118             44    
70        118man          1     
71        119             1     
72        1199            1     
73        1199seiu        1     
74        11judg          1     
75        11member        1     
76        11percentag     1     
77        11th            8     
78        11yearold       2     
79        12              178   
80        120             3     
81        1200            2     
82        1202            1     
83        120member       1     
84        120seat         6     
85        1215            6     
86        122             1     
87        123             3     
88        124             2     
89        1244            1     
90        1245            1     
91        125             8     
92        12501           1     
93        126             2     
94        128player       1     
95        12gaug          1     
96        12hour          1     
97        12inch          1     
98        12mile          2     
99        12milelong      2     
100       12stori         1     
101       12strong        1     
102       12th            15    
103       12thseed        1     
104       12year          5     
105       12yearold       19    
106       13              106   
107       130             2     
108       131             7     
109       1314            2     
110       1315            1     
111       132             1     
112       134             3     
113       135             4     
114       137133          2     
115       138page         2     
116       139countri      1     
117       13day           1     
118       13match         1     
119       13th            9     
120       13thseed        1     
121       13year          13    
122       14              63    
123       140             11    
124       141             2     
125       143             2     
126       145mile         1     
127       146             1     
128       146th           1     
129       147             2     
130       148             3     
131       14th            2     
132       14thseed        1     
133       14year          3     
134       14yearold       3     
135       15              76    
136       150             42    
137       151             2     
138       1516            2     
139       152             1     
140       153             3     
141       1545            3     
142       155             2     
143       15foothigh      3     
144       15hour          5     
145       15minut         6     
146       15month         1     
147       15nation        2     
148       15seed          2     
149       15th            5     
150       15thseed        1     
151       15yearold       1     
152       16              75    
153       160             4     
154       1600            1     
155       162             3     
156       163             1     
157       1640            1     
158       165             1     
159       168             1     
160       16inch          1     
161       16member        2     
162       16page          1     
163       16th            2     
164       16thseed        1     
165       16year          1     
166       16yearold       8     
167       17              191   
168       170             3     
169       17061           1     
170       17090           1     
171       172             1     
172       175             1     
173       176             4     
174       176174          1     
175       177             1     
176       178             2     
177       1792            1     
178       17th            1     
179       17yearold       11    
180       18              48    
181       180             2     
182       1800            1     
183       18002258550     1     
184       18002577575     2     
185       18002hunger     1     
186       1800424adra     1     
187       1800521care     1     
188       18005355433     1     
189       18005548583     1     
190       180055crwrc     1     
191       18006787255     1     
192       18007363467     1     
193       180077oxfam     1     
194       18008897146     1     
195       1800forkid      1     
196       1800helpnow     2     
197       1800lwrlwr2     1     
198       1800sponsor     1     
199       181             1     
200       1819            1     
201       182             2     
202       1839            1     
203       185             2     
204       1869            1     
205       187             1     
206       1876            1     
207       188             1     
208       1881            1     
209       1888            3     
210       18883920392     1     
211       188856child     1     
212       18footdeep      2     
213       18member        1     
214       18monthold      5     
215       18parti         9     
216       18th            2     
217       18year          1     
218       18yearold       10    
219       19              66    
220       190             6     
221       1904            1     
222       1906            1     
223       1907            3     
224       1909            1     
225       1914            1     
226       192             1     
227       1920            2     
228       1928            5     
229       193             1     
230       1930            1     
231       19303           1     
232       1931            2     
233       1932            2     
234       1933            1     
235       1937            1     
236       1941            1     
237       1944            1     
238       1945            5     
239       1947            2     
240       1948            1     
241       1950            12    
242       1953            1     
243       1954            4     
244       1956            1     
245       1957            2     
246       196             2     
247       1960            16    
248       1961            4     
249       1962            3     
250       1963            2     
251       1964            1     
252       1965            1     
253       1966            2     
254       1967            16    
255       1968            9     
256       1969            12    
257       1970            17    
258       1971            1     
259       1972            7     
260       1973            6     
261       1974            5     
262       1975            22    
263       197577          1     
264       1976            6     
265       1977            9     
266       197781          1     
267       1978            2     
268       1979            4     
269       1980            44    
270       1981            11    
271       1982            4     
272       1983            20    
273       1984            6     
274       1985            16    
275       198590          2     
276       1986            14    
277       198687          1     
278       1987            10    
279       198794          1     
280       1988            11    
281       1989            17    
282       1990            56    
283       199099          1     
284       1991            26    
285       199192          1     
286       199193          3     
287       1992            45    
288       1993            37    
289       1994            38    
290       1995            48    
291       1996            95    
292       199697          3     
293       1997            38    
294       199799          1     
295       1998            105   
296       199899          1     
297       1999            64    
298       19minut         1     
299       19th            1     
300       19yearold       12    
301       1hour           3     
302       1rank           1     
303       1st             1     
304       1yearold        2     
305       2               132   
306       20              150   
307       200             73    
308       2000            28    
309       2001            8     
310       2002            12    
311       2003            1     
312       200300          1     
313       20036           1     
314       2004            5     
315       2005            3     
316       2006            1     
317       2008            1     
318       201             1     
319       2010            1     
320       2015            1     
321       2028576533      1     
322       203             4     
323       2035            1     
324       204             1     
325       209             4     
326       20904           1     
327       20footby40foot  2     
328       20minut         1     
329       20page          1     
330       20percentag     1     
331       20th            8     
332       20thcenturi     1     
333       20to40foot      1     
334       20year          9     
335       20yearold       10    
336       21              23    
337       210             2     
338       212037090       1     
339       2125561927      1     
340       2125578000      1     
341       2128702167      1     
342       2128850832      1     
343       212989832       1     
344       215             5     
345       215000          1     
346       216             3     
347       219             4     
348       21foot          1     
349       21gun           2     
350       21nation        1     
351       21st            3     
352       21stcenturi     1     
353       21yearold       1     
354       22              53    
355       220megawatt     2     
356       222             6     
357       222209          2     
358       223             2     
359       22314           1     
360       224             26    
361       2247            1     
362       225             2     
363       22match         3     
364       22member        3     
365       22nd            5     
366       22yearold       11    
367       23              54    
368       230             4     
369       231             1     
370       232             4     
371       23261           1     
372       234             2     
373       236             2     
374       238             4     
375       23rd            1     
376       23yearold       9     
377       24              80    
378       240             4     
379       241             4     
380       242             1     
381       243             1     
382       245             2     
383       246             5     
384       246day          1     
385       247             1     
386       248             1     
387       24carat         1     
388       24citi          1     
389       24hour          1     
390       24th            8     
391       24yearold       10    
392       25              87    
393       250             6     
394       2500            4     
395       250member       2     
396       253             2     
397       255             4     
398       257             1     
399       259             1     
400       25foot          1     
401       25th            6     
402       25yearold       1     
403       26              46    
404       264             1     
405       26484           1     
406       267             2     
407       269             1     
408       26yearold       1     
409       27              15    
410       270             8     
411       271             1     
412       275             6     
413       27yearold       6     
414       28              27    
415       28000           1     
416       2829            1     
417       283             2     
418       2850            1     
419       28th            1     
420       28yearold       1     
421       29              33    
422       293             3     
423       293strong       3     
424       295             1     
425       29yearold       3     
426       2hour           3     
427       2nd             3     
428       2seed           1     
429       2storey         1     
430       2yearold        7     
431       3               111   
432       30              123   
433       300             44    
434       300ton          1     
435       300yardswid     1     
436       30303           1     
437       3040            2     
438       308             3     
439       30andov         1     
440       30by40foot      2     
441       30hour          1     
442       30minut         1     
443       30straight      1     
444       30year          1     
445       30yearold       9     
446       31              22    
447       310             2     
448       315             3     
449       31521           1     
450       316             2     
451       317             1     
452       31st            1     
453       31yearold       3     
454       32              17    
455       320             1     
456       325             1     
457       327             2     
458       33              39    
459       330             3     
460       332             1     
461       333             1     
462       335             6     
463       33footlong      1     
464       33rd            1     
465       34              18    
466       340             1     
467       345             5     
468       348             1     
469       34foot          2     
470       34yearold       2     
471       35              54    
472       350             17    
473       350bed          1     
474       357             3     
475       357calib        2     
476       35year          3     
477       35yearold       1     
478       36              50    
479       37              26    
480       370             1     
481       372             3     
482       38              16    
483       385             2     
484       387             1     
485       38th            2     
486       38yearold       4     
487       39              63    
488       39yearold       4     
489       3day            1     
490       3foothigh       1     
491       3rd             9     
492       3to2            1     
493       3yearold        4     
494       4               65    
495       40              97    
496       400             33    
497       403             3     
498       4030            1     
499       40bed           1     
500       40by40          2     
501       40by40feet      1     
502       40by40foot      13    
503       40foot          9     
504       40footby40foot  2     
505       40footlong      1     
506       40man           1     
507       40member        1     
508       40page          1     
509       40th            1     
510       40yearold       6     
511       41              17    
512       412             2     
513       415             1     
514       418             3     
515       41st            1     
516       41yearold       4     
517       42              24    
518       421             2     
519       426             1     
520       42day           1     
521       43              13    
522       431             1     
523       435             3     
524       43rd            7     
525       43yearold       1     
526       44              18    
527       440             6     
528       444             1     
529       44yearold       4     
530       45              33    
531       450             1     
532       4500            1     
533       456             2     
534       46              28    
535       466             1     
536       47              14    
537       473             2     
538       475             2     
539       47minut         2     
540       47yearold       1     
541       48              24    
542       480             1     
543       48hour          1     
544       48th            1     
545       49              4     
546       4949            1     
547       49560           1     
548       498             2     
549       499             1     
550       4all            2     
551       4point          3     
552       4seed           1     
553       4time           1     
554       4yearold        9     
555       5               126   
556       50              96    
557       500             68    
558       5000            2     
559       500foot         5     
560       500footlong     1     
561       500mile         2     
562       500year         1     
563       5048            3     
564       5049            1     
565       505             1     
566       5050            7     
567       505foot         10    
568       505footlong     1     
569       50calib         1     
570       50minut         1     
571       50year          3     
572       50yearold       2     
573       51              26    
574       515             4     
575       51st            2     
576       51yearold       1     
577       52              23    
578       52nd            1     
579       53              22    
580       5347            1     
581       538             6     
582       539             1     
583       54              37    
584       543             2     
585       5446            7     
586       54th            1     
587       54yearold       7     
588       55              12    
589       550             2     
590       557             1     
591       55degre         1     
592       55minut         2     
593       55year          8     
594       55yearold       4     
595       56              13    
596       565             1     
597       56yearold       7     
598       57              13    
599       574             3     
600       57yearold       1     
601       58              33    
602       580             1     
603       583             2     
604       584foot         1     
605       58year          1     
